Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
392,GL,ND,JMS,Jamestown,Jamestown Regional,P,N,11768,10917,0.078
393,GL,IL,UIN,Quincy,Quincy Regional-Baldwin Field,P,N,11633,7709,0.509
394,GL,MI,APN,Alpena,Alpena County Regional,P,N,11618,11317,0.0266
396,GL,SD,ATY,Watertown,Watertown Regional,P,N,11499,11160,0.0304
397,AL,AK,KSM,St. Mary's (ANV/ANVSA),St Mary's,P,N,11442,11528,-0.0075
398,SO,FL,VRB,Vero Beach,Vero Beach Regional,P,N,11084,9110,0.2167
399,GL,IL,MWA,Marion,Veterans Airport of Southern Illinois,P,N,11078,11029,0.0044
400,NE,ME,PQI,Presque Isle,Presque Isle International,P,N,10865,12735,-0.1468
402,NM,UT,CNY,Moab,Canyonlands Field,P,N,10731,10032,0.0697
403,EA,WV,LWB,Lewisburg,Greenbrier Valley,P,N,10678,5495,0.9432
404,NE,NH,LEB,Lebanon,Lebanon Municipal,P,N,10668,10383,0.0274
405,NM,UT,VEL,Vernal,Vernal Regional,P,N,10658,6615,0.6112
406,NM,CO,PUB,Pueblo,Pueblo Memorial,P,N,10451,3833,1.7266
407,WP,AZ,PRC,Prescott,Prescott Regional - Ernest A Love Field,P,N,10337,5888,0.7556
409,NE,MA,PVC,Provincetown,Provincetown Municipal,P,N,10316,8900,0.1591
410,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,10050,11321,-0.1123
427,NM,MT,WYS,West Yellowstone,Yellowstone,P,N,8226,8786,-0.0637
411,NM,MT,SDY,Sidney,Sidney-Richland Regional,CS,None,9915,8429,0.1763
412,SO,MS,PIB,Moselle,Hattiesburg-Laurel Regional,CS,None,9813,11726,-0.1631
413,GL,IL,DEC,Decatur,Decatur,CS,None,9519,8324,0.1436
414,AL,AK,GAL,Galena,Edward G Pitka Sr,CS,None,9440,9664,-0.0232
415,AL,AK,GST,Gustavus,Gustavus,CS,None,9334,9061,0.0301
417,CE,MO,CGI,Scott City,Cape Girardeau Regional,CS,None,9173,6321,0.4512
418,AL,AK,ENM,Emmonak,Emmonak,CS,None,9117,8004,0.1391
419,AL,AK,KAL,Kaltag,Kaltag,CS,None,8964,1626,4.5129
421,CE,IA,BRL,Burlington,Southeast Iowa Regional,CS,None,8518,7759,0.0978
423,NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,None,8458,9509,-0.1105
424,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,CS,None,8359,7140,0.1707
425,NM,WA,ORS,Eastsound,Orcas Island,CS,None,8280,7223,0.1463
426,CE,IA,MCW,Mason City,Mason City Municipal,CS,None,8278,7502,0.1034
428,NE,MA,EWB,New Bedford,New Bedford Regional,CS,None,8128,5998,0.3551
429,NM,CO,CEZ,Cortez,Cortez Municipal,CS,None,8086,7890,0.0248
430,AL,AK,HNS,Haines,Haines,CS,None,8026,7864,0.0206
433,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville-St Robert Regional Forney Field,CS,None,7717,9078,-0.1499
435,WP,CA,MCE,Merced,Merced Regional/Macready Field,CS,None,7355,8318,-0.1158
436,AL,AK,SGY,Skagway,Skagway,CS,None,7324,7380,-0.0076
437,WP,CA,CRQ,Carlsbad,McClellan-Palomar,CS,None,7175,5931,0.2097
438,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,7071,6101,0.159
439,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,7042,7338,-0.0403
440,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,CS,None,7034,6494,0.0832
441,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,None,6838,6255,0.0932
442,AL,AK,HNH,Hoonah,Hoonah,CS,None,6817,6820,-0.0004
443,WP,CA,IPL,Imperial,Imperial County,CS,None,6648,6136,0.0834
444,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,6641,6799,-0.0232
446,GL,ND,DVL,Devils Lake,Devils Lake Regional,CS,None,6628,7767,-0.1466
447,AL,AK,MRI,Anchorage,Merrill Field,CS,None,6621,18298,-0.6382
450,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,CS,None,6396,5701,0.1219
451,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,None,6210,6490,-0.0431
452,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,6186,5176,0.1951
453,AL,AK,CXF,Coldfoot,Coldfoot,CS,None,6020,6345,-0.0512
454,EA,PA,LNS,Lititz,Lancaster,CS,None,6012,4577,0.3135
455,WP,CA,CEC,Crescent City,Jack McNamara Field,CS,None,6011,6802,-0.1163
456,SW,NM,SVC,Silver City,Grant County,CS,None,5949,5686,0.0463
459,WP,AZ,SDL,Scottsdale,Scottsdale,CS,None,5902,953,5.1931
460,AL,AK,VAK,Chevak,Chevak,CS,None,5891,5243,0.1236
461,EA,WV,MGW,Morgantown,Morgantown Municipal-Walter L Bill Hart Field,CS,None,5890,5698,0.0337
462,SW,AR,JBR,Jonesboro,Jonesboro Municipal,CS,None,5839,4785,0.2203
463,SO,TN,MKL,Jackson,McKellar-Sipes Regional,CS,None,5706,4007,0.424
465,NE,VT,RUT,Rutland,Rutland - Southern Vermont Regional,CS,None,5656,5024,0.1258
466,SO,MS,GLH,Greenville,Greenville Mid-Delta,CS,None,5634,5646,-0.0021
467,NE,ME,AUG,Augusta,Augusta State,CS,None,5594,5435,0.0293
468,AL,AK,ILI,Iliamna,Iliamna,CS,None,5553,5752,-0.0346
469,EA,NY,SLK,Saranac Lake,Adirondack Regional,CS,None,5505,4977,0.1061
470,EA,PA,DUJ,Brookville,Dubois Regional,CS,None,5448,3888,0.4012
472,GL,MI,IWD,Ironwood,Gogebic-Iron County,CS,None,5335,5348,-0.0024
473,SW,AR,HRO,Harrison,Boone County,CS,None,5307,4371,0.2141
474,CE,MO,IRK,Kirksville,Kirksville Regional,CS,None,5306,5152,0.0299
475,CE,NE,CDR,Chadron,Chadron Municipal,CS,None,5228,5532,-0.055
476,CE,KS,LBL,Liberal,Liberal Mid-America Regional,CS,None,5175,994,4.2062
